text,likes,platform,num_palabras
Love our CDCs!! @heyitsbrooke2,0.0,Instagram,4
Super Music 👏🏾👏🏾👏🏾,2.0,Instagram,3
@marianapirelaa !,1.0,Instagram,2
😍😍😍😍,1.0,Instagram,1
I love it! Mira @joy_monroy,1.0,Instagram,5
hello @clsidoti,1.0,Instagram,2
@madelineeez if you’re still in Denver you should go!!,0.0,Instagram,9
Fantastic 😍😍,1.0,Instagram,2
شغل رائع كعادتك حبيبتي رنا,1.0,Instagram,5
🔥🔥🔥,1.0,Instagram,1
@__siner__,1.0,Instagram,1
😍😍😍 Love this pic Naddz!!!😍😘,1.0,Instagram,5
ابو كنان المبدع❤️❤️,1.0,Instagram,3
🔥🔥🔥,1.0,Instagram,1
ربي يعطيه الصحة يا رب 🤲 💞,1.0,Instagram,7
احبكم,2.0,Instagram,1
תודה רבה גם לך אילן שאתה משתף צילומים כל כך מושלמים תחשוב בכיוון של תערוכה,1.0,Instagram,15
צילום מדהים קונטקסט מושלם,1.0,Instagram,4
❤️,1.0,Instagram,1
Dope shot👏🏾👌🏾,1.0,Instagram,2
🌊🌊🌊🌊,1.0,Instagram,1
Que bonita esa imagen 🙌,1.0,Instagram,5
Great work !👏,1.0,Instagram,3
الف مبروك🙏🏻❤️,1.0,Instagram,2
Aminos ❤️❤️,1.0,Instagram,2
❤️,1.0,Instagram,1
Um dia eu irei!❤️,1.0,Instagram,4
Gorgeous shots! I haven’t tried this one yet ❤️,1.0,Instagram,9
🙌,1.0,Instagram,1
ang cute niyo talaga ni @renzobaraquio sa first pic!! 😍🥰,0.0,Instagram,10
ما أحلاها اختي 😍😍,1.0,Instagram,4
بتجنن❤️❤️❤️🇵🇸🔥,1.0,Instagram,1
"That’s superb, how are the visitor numbers there?👏",1.0,Instagram,8
Ma handsome boyy😍😍🧿,3.0,Instagram,3
أخويا ❤️❤️🙌,3.0,Instagram,2
Hi,1.0,Instagram,1
😍😍😍,1.0,Instagram,1
My favorite place in the middle east - Red Rock City ❤️,1.0,Instagram,12
حبيبتي مس دينا من أروع وغلى الناس والله ❤️,1.0,Instagram,9
نهاية المشوار كانت حزينة😢,1.0,Instagram,4
How much?,2.0,Instagram,2
ما أحلاها🌹,1.0,Instagram,2
ما احلى الصورة😍,1.0,Instagram,3
Lugar lindo,1.0,Instagram,2
אלוף@tal_hanoci_drone,1.0,Instagram,1
"أحلى مس❤❤
ينعاد عليكِ بالصحة و السلامة 😍",1.0,Instagram,8
مس دينا 🤍🤍🤍🤍🤍,1.0,Instagram,3
ابدعتي!!!! بتوجع القلب 💔💔,1.0,Instagram,4
wow 😮🔥🙌,1.0,Instagram,2
شو هالأبداع🔥,1.0,Instagram,2
بتجنن روعة وراقية كتير تسلم ايديكي 😍❤️,1.0,Instagram,7
Que momento especial e lindo !! Pra poucos !! Chuvas de bençãos sobre você!!🙏🏻❣️🙌🏻❣️,1.0,Instagram,14
@hannahnasssssss,0.0,Instagram,1
❤️,1.0,Instagram,1
It’s look so good 🤩,1.0,Instagram,5
👏👏👏👏,1.0,Instagram,1
المقال ده عاري تماما من الصحه الفليك اسيد فيتامين مصنع ونص سيدات العالم عندهم طفرهmthfr  والنوع ده من الطفرات الجينيه بيخلي الجسم غير قادر علي عمليه الميثايليشن اللي بتحول الفوليك اسيد المصنع لماده طبيعيه يستفيد بيها الجسم وبيترام في الدم ويعلي الهوموسيستيين المسوؤل عن التجلط فبيحصل الاجهاض او ولاده طفل عنده مشاكل في جهازه العصبي وانا واخده من اللي عانو من الاجهاض المتكرر بسبب الاصرار علي الفوليك اسيد لنفس اسباب البوست ولما منعته واستخدمت الميثايل فوليت اللي هو فيتامين ب9 ومعاه كوبال اللي هو فيتامين ب12 وطبعا ابر مميعه للدم الحمد لله ربنا اكرمني بطفل سليم معافي ارجوكو تحرو الدقه في اخباركو واسمعو من الحالات,2.0,Instagram,105
الفيروس ما ينتقل بالأشياء الجماد  ما يعيش فيها  ولا ينتقل عبر البضائع,1.0,Instagram,12
I do not have the answer but I have the same feeling towards my adoptive country too! 😍 Love your feed! This pinkish tone is very pretty!,1.0,Instagram,27
👏👏👏👏,1.0,Instagram,1
So beautiful 😍,1.0,Instagram,3
القدس لنا 💪🏻,1.0,Instagram,3
Nice profile 🙃,2.0,Instagram,3
كم,1.0,Instagram,1
كم الاسعار,1.0,Instagram,2
كم السعر ؟,1.0,Instagram,3
Buongiorno 😘 😘😘😘😘😘😘❤️❤️❤️,1.0,Instagram,3
Beautiful country! עם ישראל הי 🙏,1.0,Instagram,6
And do you deliver to Bahrain 🇧🇭,1.0,Instagram,7
كم منفضلك الطقم,1.0,Instagram,3
กลับเถอะ,1.0,Instagram,1
ابداع 🩷🩷💖💖💖💗💗💗,1.0,Instagram,2
حبييييييتتتتت,1.0,Instagram,1
So beautiful inside out - safe travel dear 👍,2.0,Instagram,9
🇱🇧🇯🇴,1.0,Instagram,1
Gaza 😍,1.0,Instagram,2
